Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price,Price_per_sqft
Kharghar,1383.08,2.0,4.0,31.0,20.0,5.2,0,0,21581302.0,15603.798767967146
Nerul,932.87,2.0,3.0,4.0,7.0,8.3,0,1,9716098.0,10415.275440307867
Panvel,74.16,3.0,2.0,10.0,35.0,1.7,1,0,1221705.0,16473.90776699029
Vashi,1198.63,2.0,3.0,18.0,31.0,5.8,0,1,23006520.0,19194.013165030075
Airoli,327.37,2.0,2.0,15.0,34.0,5.4,0,0,4345409.0,13273.693374469254
Airoli,1237.58,2.0,4.0,0.0,20.0,14.0,0,0,17717482.0,14316.231677952133
Kharghar,125.7,2.0,3.0,29.0,19.0,9.8,0,1,2044763.0,16267.008750994431
Panvel,847.08,3.0,1.0,34.0,20.0,14.5,0,0,8800312.0,10388.99749728479
Kharghar,861.58,2.0,4.0,0.0,27.0,8.4,1,0,14054526.0,16312.502611481232
Ulwe,858.41,2.0,4.0,16.0,16.0,8.5,0,1,8198075.0,9550.302303095257
Belapur,1566.13,2.0,1.0,12.0,21.0,4.7,1,1,16787632.0,10719.181677127695
Belapur,629.26,2.0,3.0,6.0,15.0,8.4,1,0,9028884.0,14348.41559927534
Nerul,749.3,3.0,4.0,26.0,30.0,13.5,1,1,14152260.0,18887.308154277325
Kharghar,816.94,2.0,1.0,31.0,11.0,14.6,1,0,8563880.0,10482.87511934781
Panvel,1134.02,1.0,4.0,28.0,26.0,9.4,0,0,14137503.0,12466.713990934904
Kharghar,1708.06,1.0,2.0,8.0,31.0,6.4,0,1,22838391.0,13370.953596477875
Ulwe,1161.11,2.0,2.0,1.0,10.0,13.0,0,0,14721206.0,12678.562754605508
Ghansoli,922.55,2.0,2.0,24.0,26.0,0.2,1,0,11628397.0,12604.625223565119
Kharghar,235.45,4.0,2.0,22.0,35.0,4.3,0,0,4920014.0,20896.21575706095
Kharghar,1082.95,2.0,4.0,13.0,26.0,5.7,1,1,17475406.0,16136.853963710235
Cbd Belapur,1398.74,3.0,2.0,23.0,21.0,15.9,0,1,18758043.0,13410.67174742983
Panvel,936.19,4.0,2.0,16.0,20.0,2.2,0,0,10845277.0,11584.482850703382
Kharghar,642.34,3.0,4.0,20.0,8.0,2.4,1,0,11990005.0,18666.134757293643
Kharghar,927.22,2.0,2.0,22.0,34.0,9.8,1,1,12776285.0,13779.130087789305
Airoli,620.21,2.0,2.0,0.0,2.0,3.5,1,1,5449498.0,8786.536818174489
Nerul,1575.16,4.0,3.0,18.0,11.0,6.4,1,0,19286161.0,12243.937758703876
Belapur,1043.55,2.0,4.0,17.0,21.0,15.0,1,1,12927783.0,12388.273681184419
Ghansoli,836.51,2.0,4.0,26.0,25.0,11.5,0,0,9190872.0,10987.16333337318
Cbd Belapur,905.51,1.0,3.0,22.0,14.0,2.6,0,1,15684609.0,17321.2984947709
Panvel,134.65,1.0,4.0,5.0,28.0,12.5,1,0,1921357.0,14269.268473821017
Panvel,1238.59,2.0,4.0,31.0,10.0,11.8,0,1,15927819.0,12859.637975439815
Ghansoli,493.33,1.0,3.0,0.0,38.0,5.7,1,0,9186220.0,18620.84203271644
Cbd Belapur,8.67,4.0,3.0,31.0,8.0,4.2,0,0,783750.0,90397.92387543252
Kharghar,1320.27,4.0,3.0,7.0,39.0,8.2,0,0,24155746.0,18296.065198785098
Ulwe,1000.34,2.0,2.0,16.0,13.0,14.2,1,0,18537344.0,18531.04344522862
Panvel,1103.23,1.0,2.0,26.0,35.0,3.2,0,1,19376929.0,17563.816248651685
Belapur,2246.06,4.0,4.0,6.0,31.0,13.4,0,0,44346106.0,19743.954302200298
Ghansoli,1251.49,2.0,1.0,5.0,27.0,13.6,0,0,13967281.0,11160.521458421561
Ghansoli,424.15,2.0,3.0,20.0,14.0,2.6,0,0,7822142.0,18441.92384769539
Panvel,14.73,2.0,1.0,18.0,24.0,0.3,1,0,441508.0,29973.387644263406
Airoli,572.98,3.0,1.0,23.0,6.0,17.7,1,0,7886312.0,13763.67761527453
Ulwe,896.37,2.0,4.0,16.0,38.0,1.6,0,0,12667773.0,14132.303624619297
Nerul,1086.24,3.0,3.0,18.0,37.0,16.6,1,0,19422583.0,17880.56322727942
Panvel,1232.59,2.0,3.0,33.0,39.0,14.7,1,1,15504816.0,12579.053862192619
Belapur,1171.3,3.0,4.0,0.0,30.0,0.9,0,1,13990020.0,11944.010928028687
Panvel,968.57,2.0,3.0,14.0,27.0,0.2,1,1,16041426.0,16561.968675470023
Airoli,592.26,2.0,2.0,7.0,16.0,3.9,0,1,10433864.0,17617.033059804817
Airoli,819.32,2.0,2.0,30.0,18.0,1.7,1,0,8857743.0,10811.090904652638
Ghansoli,1301.77,2.0,4.0,5.0,7.0,1.5,0,1,18691871.0,14358.812232575647
Kharghar,1089.03,2.0,3.0,21.0,37.0,4.8,1,1,9592394.0,8808.199957760577
Cbd Belapur,1214.9,1.0,3.0,6.0,35.0,2.4,1,0,12437275.0,10237.28290394271
Airoli,449.99,2.0,2.0,22.0,1.0,10.2,1,0,5780341.0,12845.487677503945
Cbd Belapur,1004.08,2.0,3.0,8.0,4.0,6.0,0,0,13237286.0,13183.497330889968
Kharghar,837.11,3.0,3.0,25.0,6.0,9.8,1,0,11415509.0,13636.808782597269
Nerul,627.79,3.0,3.0,1.0,35.0,6.7,1,0,11908624.0,18969.120247216426
Nerul,1807.2,1.0,3.0,8.0,34.0,5.2,0,0,31253420.0,17293.835768038956
Vashi,1070.56,2.0,3.0,18.0,21.0,7.8,0,1,18701726.0,17469.10588850695
Belapur,666.23,2.0,4.0,16.0,32.0,11.9,1,0,8266749.0,12408.250904342343
Kharghar,425.01,2.0,3.0,8.0,1.0,11.2,0,0,5943118.0,13983.478035810922
Nerul,1348.39,2.0,2.0,30.0,7.0,3.8,0,0,14518984.0,10767.644375885315
Airoli,1081.37,1.0,1.0,7.0,4.0,14.3,0,0,19009027.0,17578.65208023156
Airoli,836.13,2.0,2.0,3.0,26.0,5.4,0,0,11327917.0,13548.033200578857
Belapur,537.41,2.0,2.0,33.0,28.0,12.0,1,1,9434744.0,17555.951694237177
Panvel,819.93,2.0,3.0,30.0,3.0,2.4,0,0,7914673.0,9652.864268901005
Airoli,1526.51,1.0,3.0,28.0,16.0,0.6,0,0,21885999.0,14337.278498011805
Nerul,1525.72,2.0,1.0,5.0,31.0,10.5,0,0,18035083.0,11820.703012348267
Ghansoli,911.35,2.0,4.0,16.0,19.0,7.2,0,1,15670250.0,17194.54655181873
Panvel,605.77,2.0,3.0,25.0,9.0,6.1,0,1,9953953.0,16431.901546791687
Ulwe,4065.39,4.0,3.0,1.0,23.0,13.4,1,1,84066042.0,20678.46922435486
Airoli,1749.55,2.0,4.0,4.0,1.0,20.2,1,0,19422221.0,11101.266611414365
Belapur,1142.27,2.0,1.0,4.0,24.0,9.5,0,1,16366101.0,14327.699230479659
Vashi,1333.35,1.0,1.0,13.0,34.0,8.3,1,0,15541650.0,11656.091798852514
Panvel,1799.91,2.0,3.0,28.0,20.0,16.0,0,0,25056386.0,13920.910489968943
Cbd Belapur,1482.83,2.0,4.0,27.0,4.0,3.2,1,0,24871804.0,16773.19989479576
Belapur,1262.47,2.0,1.0,8.0,34.0,2.2,0,0,20791939.0,16469.253922865493
Nerul,1687.37,1.0,1.0,27.0,9.0,16.2,0,0,31920538.0,18917.331705553614
Cbd Belapur,1185.4,2.0,1.0,20.0,27.0,12.0,0,0,20649858.0,17420.160283448622
Belapur,791.12,2.0,2.0,33.0,1.0,17.6,1,1,10327600.0,13054.403883102437
Cbd Belapur,771.12,1.0,4.0,11.0,25.0,13.9,1,1,14703647.0,19067.910312273056
Nerul,997.84,2.0,2.0,32.0,38.0,13.9,1,0,9669891.0,9690.82317806462
Nerul,1139.26,4.0,2.0,32.0,21.0,3.8,0,0,12696327.0,11144.363007566315
Nerul,1085.48,2.0,4.0,10.0,28.0,15.2,1,1,16493928.0,15195.054722334819
Belapur,945.31,2.0,1.0,23.0,10.0,5.2,1,0,16274802.0,17216.36500195703
Cbd Belapur,667.92,2.0,3.0,23.0,27.0,3.8,0,0,10012877.0,14991.132171517547
Kharghar,1180.7,3.0,4.0,6.0,34.0,19.2,1,0,21282815.0,18025.59075124926
Kharghar,1154.21,1.0,1.0,24.0,10.0,9.2,1,0,15282177.0,13240.37826738635
Panvel,1173.49,2.0,3.0,18.0,38.0,7.1,0,1,18444581.0,15717.71468014214
Cbd Belapur,546.88,3.0,4.0,14.0,3.0,1.3,1,0,8055204.0,14729.381217086015
Cbd Belapur,1110.77,2.0,1.0,11.0,25.0,3.7,0,0,16842882.0,15163.248917417648
Panvel,1553.2,2.0,3.0,0.0,17.0,4.9,1,0,25001722.0,16096.910893638938
Panvel,1012.66,1.0,3.0,18.0,30.0,9.5,0,1,14418625.0,14238.367270357277
Kharghar,185.16,2.0,3.0,18.0,2.0,10.4,1,0,2188692.0,11820.54439403759
Belapur,1254.13,2.0,2.0,29.0,36.0,1.4,0,1,24774467.0,19754.30537504086
Panvel,1440.56,2.0,1.0,23.0,16.0,14.9,1,0,19373816.0,13448.80879657911
Vashi,1222.09,1.0,3.0,30.0,17.0,3.6,1,1,17479222.0,14302.728931584417
Nerul,1548.44,2.0,4.0,33.0,16.0,5.1,1,1,26352840.0,17018.961018831855
Ulwe,1309.16,2.0,3.0,16.0,32.0,6.8,0,0,13866046.0,10591.559473250023
Nerul,983.01,2.0,1.0,34.0,25.0,7.0,0,0,11104708.0,11296.637877539395
Airoli,1082.54,2.0,1.0,20.0,34.0,11.2,0,0,14128757.0,13051.487242965619
Kharghar,607.96,3.0,2.0,16.0,25.0,0.8,0,1,9067584.0,14914.77070859925
Kharghar,844.19,2.0,4.0,33.0,20.0,4.0,0,1,9315058.0,11034.31455004205
Nerul,988.8,2.0,1.0,13.0,14.0,11.6,1,1,13625999.0,13780.338794498382
Ghansoli,1452.48,1.0,4.0,24.0,14.0,15.1,0,0,17656346.0,12155.999394139679
Ghansoli,1273.71,1.0,1.0,32.0,38.0,8.7,0,0,14884164.0,11685.677273476695
Cbd Belapur,604.29,2.0,3.0,25.0,38.0,14.8,1,1,9986009.0,16525.193201939466
Belapur,1124.03,1.0,3.0,29.0,17.0,6.2,0,0,13581935.0,12083.249557396155
Ulwe,1651.28,2.0,4.0,30.0,4.0,5.8,1,1,16695439.0,10110.604500750933
Nerul,769.34,2.0,4.0,22.0,31.0,9.2,0,0,12644765.0,16435.860607793693
Airoli,192.9,2.0,4.0,9.0,35.0,9.9,0,1,2570829.0,13327.262830482116
Nerul,133.81,3.0,4.0,12.0,31.0,10.5,0,0,1950081.0,14573.507211718108
Airoli,130.21,1.0,1.0,25.0,32.0,15.6,0,0,1580396.0,12137.285922740188
Ulwe,1000.09,2.0,3.0,5.0,20.0,5.4,1,0,19923705.0,19921.912027917486
Airoli,1083.09,3.0,3.0,11.0,28.0,0.0,0,0,21870732.0,20192.903636816885
Cbd Belapur,1797.14,1.0,3.0,6.0,33.0,1.0,0,0,27736155.0,15433.49711207808
Nerul,886.26,1.0,2.0,5.0,11.0,5.8,0,1,9540554.0,10764.960621036716
Kharghar,1138.62,3.0,1.0,28.0,29.0,3.0,0,0,21492728.0,18876.12021569971
Airoli,1152.16,4.0,3.0,2.0,1.0,9.2,1,0,16536069.0,14352.233196778225
Vashi,1197.34,3.0,3.0,12.0,16.0,16.7,0,0,20332617.0,16981.48980239531
Panvel,894.62,2.0,3.0,12.0,10.0,0.7,0,0,8540920.0,9546.980841027475
Cbd Belapur,1158.27,4.0,2.0,11.0,28.0,13.1,0,1,19057807.0,16453.68264739655
Kharghar,1000.59,2.0,1.0,11.0,10.0,1.5,1,0,10014922.0,10009.016680158706
Airoli,1483.55,4.0,4.0,10.0,20.0,23.0,0,1,25016172.0,16862.372013076743
Kharghar,1401.07,4.0,1.0,33.0,18.0,3.7,0,0,27068477.0,19319.860535162414
Panvel,1296.87,3.0,4.0,25.0,30.0,5.0,0,1,14223228.0,10967.350621110829
Cbd Belapur,5897.93,2.0,4.0,15.0,14.0,2.5,0,1,78350830.0,13284.462514814519
Belapur,1461.17,2.0,2.0,31.0,21.0,6.4,0,1,17364266.0,11883.809549881258
Nerul,750.97,2.0,1.0,22.0,5.0,14.9,0,0,7025293.0,9354.958253991505
Ulwe,656.36,2.0,1.0,7.0,17.0,8.5,1,0,7259613.0,11060.413492595526
Belapur,3937.52,1.0,3.0,8.0,30.0,4.3,0,1,51537342.0,13088.782279201121
Airoli,787.02,2.0,4.0,26.0,19.0,4.4,1,0,11910325.0,15133.446418134228
Ulwe,617.82,4.0,3.0,8.0,6.0,11.1,0,1,12165470.0,19690.96176879997
Panvel,818.84,4.0,4.0,25.0,1.0,8.9,1,1,15836955.0,19340.71979873968
Nerul,688.25,2.0,1.0,0.0,14.0,3.4,0,0,11535015.0,16759.920087177623
Airoli,412.75,2.0,2.0,30.0,28.0,5.6,0,1,6892439.0,16698.82253179891
Belapur,623.04,1.0,3.0,21.0,28.0,9.9,1,0,8220114.0,13193.557395993837
Ulwe,1399.22,4.0,2.0,9.0,14.0,0.3,0,1,17121449.0,12236.423864724633
Airoli,713.73,3.0,3.0,0.0,8.0,4.6,1,0,8311631.0,11645.34347722528
Airoli,443.24,3.0,1.0,26.0,8.0,10.6,1,0,7278854.0,16421.924916523778
Ghansoli,1713.77,2.0,3.0,29.0,15.0,12.9,0,0,28453093.0,16602.63220852273
Nerul,658.17,2.0,2.0,6.0,6.0,2.7,0,0,8531466.0,12962.40484981084
Ulwe,513.61,2.0,3.0,8.0,4.0,5.5,0,0,6791715.0,13223.4866922373
Airoli,1265.17,4.0,4.0,13.0,15.0,10.8,1,1,19670019.0,15547.332769509236
Ulwe,1338.73,2.0,2.0,27.0,33.0,7.8,1,1,23672428.0,17682.750069095335
Cbd Belapur,4394.75,4.0,2.0,3.0,10.0,0.4,1,1,88608619.0,20162.379885090166
Airoli,764.19,3.0,3.0,16.0,15.0,4.3,1,0,13242338.0,17328.593674348
Panvel,1561.57,2.0,3.0,32.0,3.0,10.2,0,0,26655042.0,17069.386578891757
Kharghar,1039.69,4.0,3.0,20.0,32.0,5.9,0,0,11809091.0,11358.280833710047
Panvel,1049.82,1.0,3.0,14.0,37.0,1.1,1,0,15218591.0,14496.381284410661
Panvel,909.95,3.0,2.0,11.0,24.0,8.3,0,1,13259234.0,14571.387438870266
Kharghar,836.86,2.0,3.0,18.0,12.0,15.7,0,0,8838223.0,10561.172717061396
Kharghar,739.3,3.0,4.0,14.0,38.0,12.0,1,0,8319929.0,11253.792776951172
Nerul,1691.36,2.0,4.0,16.0,24.0,10.7,1,0,29933047.0,17697.620258253715
Cbd Belapur,482.03,2.0,1.0,18.0,24.0,9.2,1,0,5511956.0,11434.881646370559
Ulwe,1017.22,4.0,1.0,12.0,1.0,2.0,0,0,16524424.0,16244.690430781935
Airoli,1075.06,2.0,2.0,6.0,25.0,18.7,0,0,15001569.0,13954.169069633324
Ghansoli,1809.39,2.0,4.0,21.0,5.0,17.7,1,1,22906453.0,12659.76544581323
Nerul,556.15,1.0,4.0,16.0,20.0,11.4,0,0,6675945.0,12003.856873145734
Nerul,261.96,2.0,4.0,22.0,20.0,4.4,1,0,3755642.0,14336.700259581618
Ghansoli,686.16,1.0,1.0,11.0,36.0,3.8,1,0,9280413.0,13525.14428121721
Kharghar,792.58,4.0,3.0,34.0,12.0,12.1,1,0,14531704.0,18334.68419591713
Nerul,3927.95,1.0,4.0,8.0,15.0,14.1,1,1,60929562.0,15511.796738756859
Ghansoli,723.44,3.0,2.0,25.0,36.0,13.0,0,1,8375039.0,11576.687769545504
Vashi,282.35,3.0,2.0,4.0,3.0,3.4,1,0,3428709.0,12143.470869488223
Nerul,1049.82,2.0,3.0,30.0,14.0,0.9,0,1,15939140.0,15182.736088091293
Nerul,899.93,4.0,4.0,20.0,15.0,13.1,0,1,10648372.0,11832.444745702443
Cbd Belapur,484.72,2.0,1.0,9.0,21.0,8.1,0,1,10145898.0,20931.461462287505
Ulwe,494.88,2.0,2.0,16.0,6.0,11.1,0,1,9124729.0,18438.265842224377
Kharghar,737.6,2.0,1.0,16.0,25.0,4.3,0,0,12717236.0,17241.37201735358
Ulwe,100.44,3.0,2.0,15.0,37.0,4.8,0,0,689971.0,6869.4842692154525
Cbd Belapur,5142.61,2.0,1.0,20.0,28.0,3.2,0,1,61977828.0,12051.823490406623
Nerul,619.11,2.0,4.0,3.0,14.0,11.1,1,0,11699533.0,18897.341344833712
Ghansoli,388.96,2.0,3.0,3.0,20.0,18.5,0,1,6440657.0,16558.661559029206
Airoli,782.23,3.0,2.0,23.0,34.0,12.5,1,0,8798530.0,11248.008897638801
Cbd Belapur,920.23,3.0,3.0,7.0,27.0,11.7,0,1,11819900.0,12844.506264738164
Panvel,1111.72,3.0,3.0,9.0,7.0,15.4,0,0,20379036.0,18331.08696434354
Airoli,1172.49,3.0,4.0,31.0,37.0,10.7,0,0,12644383.0,10784.213937858745
Nerul,602.81,4.0,3.0,10.0,26.0,6.7,1,0,6840628.0,11347.900665217898
Ulwe,1291.76,2.0,3.0,25.0,17.0,10.0,0,0,22639707.0,17526.248683966063
Nerul,684.89,2.0,4.0,23.0,12.0,2.5,1,0,7871862.0,11493.615033071004
Nerul,349.69,3.0,3.0,29.0,27.0,9.0,1,0,3321441.0,9498.244159112357
Ulwe,703.62,2.0,2.0,9.0,35.0,1.9,0,0,10490332.0,14909.087291435719
Kharghar,589.73,4.0,3.0,11.0,37.0,2.2,0,0,12678311.0,21498.50100893629
Ghansoli,1523.72,2.0,3.0,31.0,39.0,9.7,0,0,20721869.0,13599.525503373323
Belapur,1153.61,4.0,1.0,7.0,28.0,14.9,0,1,16243063.0,14080.203014883715
Nerul,666.95,2.0,3.0,29.0,29.0,3.7,0,0,11006576.0,16502.85028862733
Ulwe,1017.22,4.0,1.0,12.0,1.0,2.0,0,0,16524424.0,16244.690430781935
Nerul,1299.13,2.0,3.0,26.0,35.0,2.2,1,0,12745896.0,9811.101275468967
Vashi,1503.81,1.0,4.0,24.0,22.0,10.7,0,0,25358242.0,16862.66350137318
Vashi,1298.88,3.0,2.0,8.0,39.0,6.1,0,0,23084382.0,17772.528640059125
Ghansoli,1503.28,1.0,3.0,10.0,8.0,15.6,0,0,16236948.0,10801.013783194083
Airoli,855.3,1.0,3.0,1.0,4.0,12.0,1,0,10263524.0,11999.911142289257
Vashi,783.0,2.0,2.0,28.0,30.0,3.2,0,1,9503578.0,12137.392081736909
Vashi,1079.3,3.0,3.0,18.0,2.0,15.5,0,0,16795400.0,15561.382377466878
Kharghar,1227.87,2.0,1.0,13.0,13.0,5.4,0,1,13374048.0,10892.071636248138
Airoli,1073.81,3.0,2.0,2.0,18.0,12.2,1,0,13386398.0,12466.263119173784
Vashi,1447.54,1.0,3.0,32.0,7.0,7.4,1,1,27685265.0,19125.734003896265
Panvel,1008.13,2.0,2.0,8.0,20.0,8.3,1,0,12540598.0,12439.465148343963
Ghansoli,451.76,2.0,1.0,8.0,4.0,3.8,0,1,4967390.0,10995.639277492473
Ghansoli,925.56,2.0,3.0,32.0,2.0,8.4,0,1,8743928.0,9447.175763861878
Panvel,203.38,2.0,1.0,7.0,2.0,14.0,0,1,3802472.0,18696.390992231292
Kharghar,1384.39,3.0,3.0,12.0,2.0,6.0,0,0,14652894.0,10584.368566661127
Belapur,1420.87,2.0,2.0,28.0,1.0,8.8,1,0,20758283.0,14609.558228409356
Ulwe,812.72,3.0,3.0,31.0,21.0,4.5,0,0,13756307.0,16926.25627522394
Nerul,949.08,4.0,3.0,31.0,10.0,7.9,0,1,19697930.0,20754.762506848736
Kharghar,1103.59,4.0,3.0,4.0,20.0,6.3,0,0,14646664.0,13271.834648737304
Nerul,1042.03,2.0,1.0,19.0,35.0,11.0,0,0,16003508.0,15358.010805830927
Kharghar,1846.37,3.0,4.0,20.0,10.0,10.9,0,0,30554854.0,16548.60835043897
Kharghar,546.02,1.0,2.0,9.0,21.0,3.6,0,1,7377967.0,13512.265118493828
Nerul,1313.21,1.0,3.0,16.0,23.0,3.8,0,0,14004345.0,10664.208313978723
Ulwe,596.07,2.0,3.0,23.0,19.0,9.7,0,0,10707906.0,17964.175348532888
Airoli,698.61,4.0,2.0,24.0,7.0,6.2,1,0,11424626.0,16353.36740098195
Vashi,408.39,2.0,1.0,6.0,8.0,4.7,0,0,6053108.0,14821.881045079459
Ulwe,721.6,1.0,2.0,20.0,2.0,6.4,0,0,13345610.0,18494.47062084257
Belapur,1769.48,1.0,4.0,10.0,28.0,1.8,0,1,25588839.0,14461.219680358072
Ghansoli,1381.16,4.0,1.0,24.0,28.0,4.7,1,1,24343238.0,17625.21214051956
Vashi,1355.86,2.0,2.0,12.0,5.0,3.1,1,0,21633756.0,15955.744693404926
Ghansoli,627.93,4.0,3.0,3.0,20.0,14.5,1,0,9934222.0,15820.58828213336
Vashi,1197.49,1.0,1.0,14.0,3.0,12.4,0,0,20795845.0,17366.19512480271
Ulwe,856.56,2.0,2.0,29.0,25.0,9.2,1,1,9451054.0,11033.732604837956
Ghansoli,1390.24,3.0,2.0,14.0,28.0,9.5,1,1,15950407.0,11473.131977212568
Kharghar,1382.94,1.0,4.0,2.0,32.0,0.4,1,0,21602398.0,15620.632854643007
Vashi,1825.4,2.0,3.0,22.0,22.0,6.6,1,1,17323272.0,9490.123808480332
Airoli,730.26,2.0,3.0,23.0,16.0,15.9,1,0,8541162.0,11696.056199161943
Panvel,958.35,2.0,3.0,30.0,24.0,9.4,0,0,18519314.0,19324.16549277404
Nerul,500.02,2.0,3.0,29.0,39.0,6.0,0,1,10113992.0,20227.17491300348
Nerul,789.52,2.0,3.0,17.0,15.0,12.3,0,0,8154436.0,10328.346337014895
Belapur,1212.62,3.0,3.0,32.0,26.0,2.2,0,1,17028146.0,14042.441985123123
Nerul,398.48,2.0,4.0,24.0,21.0,6.8,0,0,5198873.0,13046.760188717124
Vashi,238.56,2.0,3.0,1.0,37.0,9.9,1,0,3405204.0,14273.993963782696
Cbd Belapur,961.71,2.0,1.0,4.0,7.0,10.6,0,0,17520168.0,18217.72467791746
Kharghar,1024.28,2.0,3.0,3.0,17.0,9.2,1,1,14561231.0,14216.0649431796
Belapur,604.24,2.0,1.0,29.0,18.0,7.2,0,1,9442314.0,15626.760889712697
Kharghar,969.41,2.0,4.0,4.0,10.0,3.0,1,1,12500385.0,12894.83809739945
Panvel,1323.1,2.0,2.0,12.0,38.0,5.4,0,0,13365312.0,10101.513113143375
Nerul,594.46,3.0,1.0,25.0,31.0,7.0,0,0,9961666.0,16757.504289607376
Ghansoli,999.14,3.0,3.0,8.0,23.0,1.9,1,1,20304843.0,20322.320195368018
Kharghar,656.81,2.0,1.0,20.0,3.0,14.6,0,1,8580878.0,13064.475266819934
Belapur,742.34,2.0,3.0,31.0,14.0,21.0,1,0,8201396.0,11048.031899129779
Panvel,650.48,4.0,3.0,16.0,12.0,10.5,1,0,13454840.0,20684.479153855613
Vashi,1178.38,4.0,2.0,16.0,1.0,3.1,0,0,23542636.0,19978.814983282133
Airoli,1210.61,4.0,3.0,23.0,12.0,1.2,0,0,19536797.0,16137.977548508605
Kharghar,615.7,2.0,4.0,5.0,9.0,21.3,0,0,6342681.0,10301.577066753289
Nerul,558.11,2.0,3.0,34.0,6.0,1.1,1,0,4757711.0,8524.683306158284
Kharghar,1233.24,4.0,3.0,5.0,38.0,13.7,0,1,13265353.0,10756.505627452889
Nerul,1108.96,4.0,1.0,0.0,9.0,3.5,0,0,14087240.0,12703.109219448852
Airoli,1021.65,2.0,2.0,28.0,5.0,2.8,0,1,16411688.0,16063.904468262126
Ulwe,643.68,2.0,3.0,11.0,13.0,7.8,1,0,10370490.0,16111.250932140196
Belapur,1798.86,4.0,4.0,12.0,5.0,14.2,0,0,27214214.0,15128.589217615601
Ulwe,798.86,2.0,4.0,18.0,36.0,5.1,0,0,11027943.0,13804.600305435244
Kharghar,448.96,2.0,3.0,6.0,7.0,5.0,0,1,5195260.0,11571.765858873843
Nerul,1737.02,2.0,3.0,9.0,18.0,6.2,1,0,19269176.0,11093.237844123845
Nerul,419.38,2.0,3.0,23.0,25.0,13.6,0,1,4512510.0,10759.955171920454
Kharghar,980.74,1.0,2.0,33.0,19.0,6.7,0,1,17670913.0,18017.938495421826
Belapur,1257.99,3.0,1.0,6.0,39.0,15.6,0,1,24488300.0,19466.211973068148
Vashi,725.38,3.0,1.0,14.0,19.0,4.7,1,0,11018563.0,15190.056246381208
Panvel,1328.72,2.0,2.0,20.0,36.0,8.3,1,1,14210461.0,10694.84993076043
Kharghar,1170.32,2.0,2.0,0.0,24.0,10.7,0,1,20073861.0,17152.454884134255
Airoli,829.67,3.0,4.0,8.0,25.0,1.8,0,0,11876738.0,14315.014403316982
Airoli,1167.13,2.0,3.0,32.0,19.0,16.8,1,0,11889503.0,10186.956894261992
Cbd Belapur,548.5,4.0,2.0,21.0,39.0,11.1,0,1,10420091.0,18997.431175934365
Cbd Belapur,1560.47,2.0,2.0,16.0,29.0,3.7,1,1,17046971.0,10924.25423109704
Nerul,1092.17,2.0,4.0,6.0,8.0,16.2,0,1,14216194.0,13016.46630103372
Airoli,1178.41,2.0,3.0,29.0,12.0,11.8,1,1,14621186.0,12407.55424682411
Nerul,604.23,2.0,3.0,24.0,34.0,17.5,0,1,7561941.0,12515.004220247256
Panvel,740.14,1.0,3.0,29.0,33.0,11.0,0,1,7598718.0,10266.595508957766
Kharghar,786.76,1.0,4.0,19.0,11.0,2.0,0,0,10348306.0,13153.065737963292
Airoli,3448.69,2.0,3.0,20.0,15.0,6.0,0,0,50284109.0,14580.640475078942
Vashi,1132.93,1.0,3.0,28.0,25.0,20.6,0,0,21612480.0,19076.624328069694
Belapur,882.41,4.0,3.0,15.0,25.0,2.3,0,0,15679936.0,17769.445042553914
Cbd Belapur,983.53,4.0,3.0,9.0,1.0,16.5,0,0,12649800.0,12861.631063617786
Airoli,743.83,2.0,3.0,4.0,39.0,4.4,0,0,7822011.0,10515.858462283048
Vashi,348.11,2.0,4.0,33.0,27.0,12.6,1,1,3679048.0,10568.63635057884
Panvel,2780.69,2.0,1.0,27.0,30.0,3.2,0,1,31195275.0,11218.53748530041
Ghansoli,611.47,2.0,3.0,27.0,6.0,11.3,0,1,10121242.0,16552.31164243544
Panvel,1555.38,4.0,4.0,7.0,36.0,11.8,1,0,33663371.0,21643.181087579884
Nerul,101.16,2.0,3.0,34.0,14.0,7.5,1,1,2206525.0,21812.228153420325
Ulwe,1239.65,2.0,3.0,10.0,24.0,20.7,0,1,15321978.0,12359.922558786753
Vashi,805.74,2.0,1.0,3.0,16.0,11.2,1,0,9428058.0,11701.116985628118
Ghansoli,656.1,1.0,4.0,27.0,9.0,6.8,0,1,11231959.0,17119.279073311995
Cbd Belapur,1515.67,1.0,3.0,23.0,17.0,11.9,0,1,15997919.0,10555.014613999088
Kharghar,872.02,2.0,1.0,6.0,17.0,5.8,0,0,14348386.0,16454.193711153413
Nerul,511.51,4.0,4.0,0.0,36.0,7.6,0,0,6747153.0,13190.657074152998
Vashi,1373.18,3.0,3.0,0.0,21.0,8.5,1,0,20319877.0,14797.679109803521
Kharghar,1037.64,2.0,2.0,4.0,38.0,8.5,0,1,9901985.0,9542.794225357542
Vashi,1235.31,4.0,1.0,9.0,26.0,1.8,1,1,20235391.0,16380.820198978396
Vashi,1044.42,2.0,3.0,26.0,25.0,5.7,0,1,12603544.0,12067.505409701078
Kharghar,644.53,2.0,4.0,11.0,35.0,7.5,1,0,9142142.0,14184.199339053264
Airoli,686.38,2.0,3.0,16.0,39.0,4.6,1,0,6857454.0,9990.754392610508
